Drug_ID,Drug,Y,split,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Drug_257,O=C(O)C=Cc1ccc(O)c(O)c1,0,train,10.125799477198287,10.125799477198287,0.2291898148148146,-1.0624400037792892,0.47162133314166776,10.461538461538462,180.159,172.09499999999997,180.042258736,68,0,0.32782120287961375,-0.504259631901577,0.504259631901577,0.32782120287961375,1.2307692307692308,1.9230769230769231,2.4615384615384617,16.364700602976473,10.163717493284521,1.9737014117363734,-1.9694897224023695,2.2466002318240696,-1.8490965604697052,5.849152042559073,-0.13085971187810191,2.069443369158913,2.915115080665927,354.63237624992405,9.844934982691242,6.636640422911867,6.636640422911867,6.092224152875014,3.5236620127174136,3.5236620127174136,2.419722724044893,2.419722724044893,1.4178307106627883,1.4178307106627883,0.8116444294648705,0.8116444294648705,-1.9700000000000002,734.652396051414,9.120661831368993,3.6204159744383486,2.5168943096011875,74.38084978713434,15.319582184522117,0.0,11.49902366656781,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,6.06636706846161,23.772205735454097,6.076020106833881,0.0,20.11411936859394,12.04532539478573,0.0,0.0,0.0,0.0,0.0,29.838572803915707,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,21.288887472473967,4.794537184071822,0.0,5.563451491696996,24.27512131221871,0.0,6.076020106833881,0.0,77.76,5.9693052879518484,4.794537184071822,0.0,11.49902366656781,5.563451491696996,6.076020106833881,24.27512131221871,0.0,0.0,0.0,15.319582184522117,0.0,0.0,10.125799477198287,26.26471167170572,0.5117592592592597,-1.562427248677248,4.055678382464096,2.2711451247165533,0.0,0.0,0.0,13,3,4,0,0,0,1,0,1,3,3,4,2,0,0,0,1,1.1956,46.441400000000016,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_2,COc1ccc(C(=O)/C(Br)=C\C(=O)O)cc1,1,train,11.660456349206349,11.660456349206349,0.004784108087679817,-1.172466038884689,0.6803619246020128,11.0,285.09299999999996,276.021,283.96842086800007,84,0,0.3290911659809105,-0.49676778632890123,0.49676778632890123,0.3290911659809105,1.3125,1.875,2.3125,79.91873163444399,10.114295618360789,2.1037586655184883,-2.012554856752341,2.1690629126504457,-2.0084338867792164,9.117596303602358,-0.1309606347165076,2.2705449979252332,2.9222726533308654,433.8027140673132,12.129392033067417,8.436674285848904,10.02267082496361,7.540912557858761,4.331927234649795,5.124925504207147,2.888138551408175,3.7424754505826954,1.819321523279348,2.408360066810404,1.0542352905006012,1.4789855513962882,-1.62,3333.1600569542425,12.449541029207232,5.45996498257116,3.2009950637338167,100.66488144672755,9.843390348640755,5.749511833283905,5.783244946364939,0.0,0.0,5.9693052879518484,4.794537184071822,4.794537184071822,0.0,0.0,0.0,40.19541217179579,11.639471598530877,11.592170095482217,19.432464716784395,27.682494132266136,0.0,0.0,0.0,0.0,7.109797541277533,40.387312426582,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,15.929943897949348,23.968875170435027,4.794537184071822,0.0,10.357988675768818,34.823860934885005,0.0,0.0,0.0,63.60000000000001,5.9693052879518484,9.589074368143644,0.0,10.265617500569624,11.3129633249809,6.076020106833881,7.109797541277533,24.26546827384644,0.0,15.929943897949348,9.843390348640755,4.946986423427396,2.9156447231670444,22.027768732122986,8.483247025674876,0.3936805555555556,-0.9225218883849831,6.401582577475434,0.8120689247921391,0.0,1.5248762595028829,0.09090909090909091,16,1,4,0,0,0,1,0,1,3,1,5,4,0,0,0,1,2.2413,61.97030000000001,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_265,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,0,train,9.72949074074074,9.72949074074074,0.1779918850256148,-0.6815740740740746,0.5632719285067509,13.066666666666666,211.261,194.12499999999997,211.120843404,84,0,0.1572614559721115,-0.5042598752600684,0.5042598752600684,0.1572614559721115,1.2,1.8666666666666667,2.4,16.30359134863473,10.089636431049978,2.0956834598762573,-2.142662940427588,2.2696963525753677,-2.273585338668094,5.407339726550765,0.17088854126364011,2.182165711599146,2.652574355517288,325.60911457507285,11.422285251880869,8.935498913634552,8.935498913634552,7.002907755397974,4.93729884558572,4.93729884558572,3.8268983275063753,3.8268983275063753,2.103692351696225,2.103692351696225,1.212914294235595,1.212914294235595,-1.2600000000000002,1870.1160148404683,11.812780203784571,4.9999590646139,3.416335285841419,89.1886771316761,20.63637078852845,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.913841467842857,17.696185628620217,12.586597235060536,6.103966387748303,15.319582184522117,0.0,0.0,5.316788604006331,0.0,25.993281616277514,6.544756405912575,23.762552697081826,0.0,11.49902366656781,5.316788604006331,0.0,11.49902366656781,0.0,27.90617941958265,0.0,0.0,25.514892278826544,18.19910120538483,0.0,0.0,0.0,72.72,6.103966387748303,10.213054789681411,0.0,11.49902366656781,18.150048726757532,0.0,12.13273413692322,6.06636706846161,13.847474399381248,5.316788604006331,5.106527394840706,0.0,0.0,0.0,31.154388804904677,0.5818981481481484,-0.3899391639371792,4.6091257768539515,-0.6815740740740746,4.3927671747711425,0.0,0.45454545454545453,15,4,4,0,0,0,1,0,1,4,4,4,4,0,0,0,1,1.1291999999999998,57.870100000000036,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_266,Nc1ccccc1S(N)(=O)=O,0,train,10.75148148148148,10.75148148148148,0.027777777777777457,-3.6584953703703706,0.5805509816764027,11.363636363636363,172.20899999999997,164.14499999999998,172.030648496,60,0,0.23959475263863264,-0.39763013806641884,0.39763013806641884,0.23959475263863264,1.1818181818181819,1.7272727272727273,2.090909090909091,32.23311581225366,10.317414582170294,2.089649850718901,-1.9950990966580298,2.138050172570751,-2.133831818204704,7.889172277840517,0.5979578543760027,1.8560659223101248,3.3721948109608206,358.5999619957354,8.483127663125442,5.688846486529344,6.50534306745707,5.015855318045498,2.8891851427452195,4.435504620666781,2.0828353525039707,3.612680294807973,1.2255374160221195,2.2103730899878444,0.7396393719973087,1.4044595583339037,-1.07,232.0082402887656,8.030704934541792,2.5192903206703843,1.6899987232276803,64.87196040593747,5.733667477162185,4.895483475517775,0.0,10.023291153407584,0.0,0.0,0.0,13.556770721936878,0.0,0.0,12.13273413692322,12.13273413692322,0.0,5.687386274683562,8.417796984328938,15.710677428091145,0.0,0.0,5.138973737607942,4.895483475517775,5.733667477162185,24.26546827384644,0.0,0.0,10.872641214770127,5.687386274683562,0.0,0.0,8.417796984328938,10.023291153407584,0.0,0.0,29.160951749364216,0.0,0.0,0.0,86.18,10.023291153407584,8.417796984328938,0.0,10.582869750201336,0.0,0.0,12.13273413692322,12.13273413692322,0.0,0.0,10.872641214770127,21.50296296296296,0.0,-0.027777777777777457,4.849814814814815,5.523449074074074,0.0,6.060046296296296,0.0,0.0,-3.6584953703703706,0.0,11,4,4,0,0,0,1,0,1,3,2,5,1,0,0,0,1,-0.08379999999999999,42.2276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drug_13,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1,train,10.74038281053162,10.74038281053162,0.07953703703703718,-1.385503590325019,0.5430485662212737,14.533333333333333,211.21699999999998,198.11299999999994,211.084457896,82,0,0.3232284756062487,-0.5042598930766835,0.5042598930766835,0.3232284756062487,1.4,2.0,2.466666666666667,16.369296770962556,9.93850856048526,2.2771312461028916,-2.1858067852527947,2.258094541768746,-2.4628868122079424,5.779107622010975,-0.1421235652082454,2.104576932812799,2.905062365401662,387.0088201517134,11.637828201504695,8.266396934908789,8.266396934908789,6.826204387599239,4.3587603259758145,4.3587603259758145,3.7224628725724047,3.7224628725724047,2.0997428761934516,2.0997428761934516,1.17862278728539,1.17862278728539,-1.75,1479.5175837673976,11.325471698113208,3.7808641975308643,2.5997033202878423,86.77528563072794,21.0532496616843,5.538925252383345,11.49902366656781,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,6.06636706846161,24.619922828310838,6.4208216229260096,0.0,20.11411936859394,5.9693052879518484,0.0,0.0,5.733667477162185,18.883484074999977,0.0,23.762552697081826,0.0,11.49902366656781,5.733667477162185,0.0,11.49902366656781,0.0,26.82781272485731,11.21535880699783,0.0,12.487188691387619,18.19910120538483,0.0,0.0,0.0,103.78000000000002,11.508230540335195,9.901064578912528,0.0,17.919845289493818,5.563451491696996,0.0,25.122838405075452,0.0,0.0,0.0,15.946722266843596,0.0,0.0,10.74038281053162,27.04052232930209,4.7039380196523055,-1.642080498866212,4.106233938019653,0.07953703703703718,1.3881330309901738,0.0,0.3,15,5,5,0,0,0,1,0,1,4,4,5,3,0,0,0,1,0.4423000000000001,53.703800000000015,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_276,COc1ccc(C[C@@](C)(N)C(=O)O)cc1OC,0,train,10.922037903124213,10.922037903124213,0.22488851095993945,-1.2920636101662888,0.8021562194414759,13.882352941176471,239.27099999999996,222.13499999999996,239.115758024,94,0,0.3232284756101784,-0.49286997862552845,0.49286997862552845,0.3232284756101784,1.3529411764705883,1.9411764705882353,2.411764705882353,16.507852840972703,9.938092359438066,2.2788075713339846,-2.193288004812015,2.2820404893539887,-2.463024673694439,5.779249532377387,-0.1421226536304068,2.27727277537384,2.9719708540951024,414.96669758512394,13.05204176387779,10.188466324836599,10.188466324836599,7.902213992520809,5.136291601867446,5.136291601867446,4.088731881166575,4.088731881166575,2.507869258967816,2.507869258967816,1.490243912939261,1.490243912939261,-1.7499999999999998,4556.8228235230545,13.315573770491802,5.053433909859866,3.1033333333333335,100.1437928141429,20.313920779602988,5.538925252383345,11.49902366656781,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,6.06636706846161,24.61992282831084,6.4208216229260096,14.219595082555067,19.374790486512623,5.9693052879518484,0.0,0.0,5.733667477162185,18.883484074999977,14.219595082555067,23.762552697081826,0.0,11.49902366656781,15.207393384762284,0.0,11.49902366656781,0.0,30.834353017730965,11.21535880699783,0.0,12.487188691387619,18.19910120538483,0.0,0.0,0.0,81.78,11.508230540335195,4.794537184071822,0.0,6.4208216229260096,11.49902366656781,5.563451491696996,14.033534740968157,25.30889874666236,0.0,0.0,20.313920779602988,10.234817885487528,0.0,10.922037903124213,8.94889132968002,5.1770596734064,0.12849366444108612,5.230539493575208,0.22488851095993945,1.478215939153439,3.071722266838834,0.4166666666666667,17,3,5,0,0,0,1,0,1,4,2,5,5,0,0,0,1,1.0482999999999998,63.47820000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_157,CC(=O)N([Na])S(=O)(=O)c1ccc(N)cc1,0,train,11.783909674981103,11.783909674981103,0.08509259259259316,-3.6650308641975298,0.5735435415079286,11.133333333333333,236.228,227.15599999999998,236.023157428,76,0,,,,,1.3333333333333333,1.8,2.2,,,,,,,,,2.167435083219359,3.1741614279139205,469.1650784845334,11.637828201504695,8.46695810330354,11.283454684231268,6.8530778411369155,4.205018542522921,6.539509062323476,3.0605880459590056,6.572506514421812,1.98194526474937,5.899951671040608,0.9671527600082147,2.734341320646472,-0.5600000000000002,1638.5809229138356,12.509252077562326,4.524707061706391,2.717797555476444,106.1873081121752,0.0,0.0,0.0,0.0,0.0,106.72849891721393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.212334168400758,49.86282139882979,0.0,1.8349869237663365,0.0,11.819220675208399,5.733667477162185,24.26546827384644,0.0,0.0,5.733667477162185,5.687386274683562,0.0,0.0,44.4049278788339,14.817828337479405,0.0,6.923737199690624,29.160951749364212,0.0,0.0,0.0,80.47,15.930470882759089,13.212334168400758,0.0,33.14044771690491,5.687386274683562,1.8349869237663365,31.18920547353706,0.0,0.0,0.0,5.733667477162185,24.39968820861678,0.12945405013857392,11.072530706727136,0.0,5.922200333837239,-0.47361882716049286,5.751828861174099,0.0,1.2240586419753088,-3.6650308641975298,0.125,15,2,5,0,0,0,1,0,1,4,1,7,2,0,0,0,1,-0.11050000000000021,56.314200000000014,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drug_33,Nc1c(F)c(N)c(F)c(F)c1F,1,train,12.53574074074074,12.53574074074074,1.119074074074074,-1.869074074074074,0.2742354190042692,10.333333333333334,180.10399999999998,176.07199999999997,180.031061008,66,0,0.19842283794635981,-0.393811049224389,0.393811049224389,0.19842283794635981,0.5833333333333334,0.9166666666666666,1.25,19.169505885191025,10.212746758712782,2.208527567004326,-2.0384721045543435,2.264602782706306,-2.0668597824189856,5.553817436464239,0.4416275633282672,2.0815718239857546,3.6035674514745475,231.81286524684438,9.464101615137755,5.66655843041616,5.66655843041616,5.464101615137754,2.83327921520808,2.83327921520808,2.08327921520808,2.08327921520808,1.331286069268604,1.331286069268604,0.6706123715991134,0.6706123715991134,-1.4600000000000002,416.3143647971509,8.634876660341554,2.543273731630037,0.9556365219595802,64.77332612522734,11.46733495432437,11.374772549367124,23.268883364183576,0.0,0.0,0.0,0.0,17.56166019069928,0.0,0.0,0.0,0.0,0.0,0.0,17.56166019069928,11.374772549367124,0.0,0.0,0.0,0.0,11.46733495432437,23.268883364183576,0.0,0.0,11.46733495432437,28.936432740066408,0.0,0.0,0.0,0.0,23.268883364183576,0.0,0.0,0.0,0.0,0.0,52.04,34.6436559135507,17.56166019069928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46733495432437,49.68518518518519,0.0,0.0,0.0,7.193333333333332,-6.8785185185185185,0.0,0.0,0.0,0.0,0.0,12,4,2,0,0,0,1,0,1,2,2,6,0,0,0,0,1,1.4074,35.0988,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_36,Cc1cc(C)cc(S(=O)(=O)O)c1,1,train,10.69287037037037,10.69287037037037,0.0416666666666663,-4.047824074074073,0.6768471361971649,11.583333333333334,186.232,176.15199999999996,186.03506518,66,0,0.29403061221056637,-0.2817916291577305,0.29403061221056637,0.2817916291577305,1.0833333333333333,1.5,1.8333333333333333,32.239782597576394,10.157598142272773,2.0868316552883814,-1.9996863207802709,2.1281566351395345,-1.982206523245057,7.854243916452916,0.4827487951168329,1.8230302976242905,3.374610356501879,372.51404179901243,9.35337115112852,6.904009274460425,7.720505855388151,5.392865415757242,3.452082471969198,4.892145800769838,2.7984818404951453,4.220019040942491,1.493060744456205,2.324481694989364,1.081830652404292,1.7514750213565835,-0.87,311.7381808937537,9.21984725965858,2.8776387598151434,2.056539913691837,71.7899233583308,0.0,0.0,0.0,0.0,10.118126859033554,0.0,4.552749873690364,0.0,8.417796984328938,0.0,6.06636706846161,37.10711151969846,0.0,4.895483475517775,12.9705468580193,10.118126859033554,0.0,0.0,0.0,18.742957874899023,0.0,29.32600418877882,0.0,0.0,0.0,0.0,0.0,0.0,12.9705468580193,10.118126859033554,13.847474399381248,11.126902983393991,23.094584680902607,0.0,0.0,0.0,54.370000000000005,10.118126859033554,8.417796984328938,0.0,4.895483475517775,0.0,11.126902983393991,12.13273413692322,13.847474399381248,6.06636706846161,0.0,4.552749873690364,30.09583333333333,0.0,-0.0416666666666663,0.0,1.6437500000000003,0.0,4.707685185185185,0.0,3.5588888888888888,-4.047824074074073,0.25,12,1,3,0,0,0,1,0,1,2,1,4,1,0,0,0,1,1.5501400000000003,45.730600000000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drug_38,CN(C)c1ccc(/N=N/S(=O)(=O)O)cc1,1,train,10.266643361048123,10.266643361048123,0.35946759259259276,-4.400857176975728,0.6305320693090721,11.933333333333334,229.261,218.17299999999997,229.052112212,82,0,0.3956811049480594,-0.377659399838362,0.3956811049480594,0.377659399838362,1.2,1.7333333333333334,2.1333333333333333,32.245056781968735,10.257735962939096,1.9894698941570859,-2.107563067361816,2.1799424892077166,-2.071742100178948,7.837775752087123,0.4823264529434198,2.1408538514301534,2.8638941907361106,450.5251678445311,11.474691494688164,8.323000330149926,9.139496911077652,6.882828714625174,4.061489696549237,5.458453106556124,3.0403080654237344,4.099274255282722,1.6255834093387014,1.9135960750988295,0.9161726670035534,1.1136350749954376,-1.4700000000000002,1609.9220962754753,11.60390983000739,4.367221295424555,4.046289711495979,88.13191238365174,4.899909730850477,0.0,0.0,0.0,0.0,10.304164876023634,4.552749873690364,0.0,8.417796984328938,5.114250125629398,0.0,28.785024659921593,19.782730240037942,5.687386274683562,12.9705468580193,21.678937425390757,0.0,0.0,9.633806511704552,0.0,18.995253696204855,24.26546827384644,0.0,0.0,4.899909730850477,11.374772549367124,0.0,0.0,27.065890823373678,10.304164876023634,0.0,0.0,33.89927478555099,0.0,0.0,0.0,82.33,10.304164876023634,8.417796984328938,0.0,0.0,5.687386274683562,5.687386274683562,0.0,24.26546827384644,18.995253696204855,9.633806511704552,4.552749873690364,31.59909753716301,0.0,1.8925683027840765,3.3464644746787604,1.3185468631897206,0.0,6.726904761904762,0.0,0.0,-0.6335819397203317,0.25,15,1,6,0,0,0,1,0,1,4,1,7,3,0,0,0,1,1.6391,56.833600000000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
