dataset,features,model,ROC-AUC,PR-AUC,valid_ROC-AUC,valid_PR-AUC
carcinogens,chemberta,logistic,0.6858585858585858,0.45010584243342866,0.808695652173913,0.7434782608695651
carcinogens,chemberta,rf,0.793939393939394,0.5477109846675065,0.8434782608695652,0.7333333333333332
carcinogens,chemberta,xgb,0.6696969696969697,0.4668926539567111,0.8782608695652174,0.7569230769230768
carcinogens,rdkit,logistic,0.8636363636363636,0.5727272727272726,0.8869565217391304,0.7658119658119658
carcinogens,rdkit,rf,0.7747474747474749,0.5051937405615124,0.8260869565217391,0.7181818181818181
carcinogens,rdkit,xgb,0.811111111111111,0.5808895339883942,0.8608695652173913,0.7466666666666666
clintox,chemberta,logistic,0.6932234432234432,0.2345613073488371,0.7916289592760182,0.25835776793757514
clintox,chemberta,rf,0.6951312576312577,0.19305440222432138,0.7828054298642534,0.288026073595077
clintox,chemberta,xgb,0.7086385836385837,0.33601928763335653,0.729185520361991,0.26906508800930196
clintox,rdkit,logistic,0.8186813186813188,0.34974493756355785,0.8929864253393665,0.5488579829218694
clintox,rdkit,rf,0.8105921855921857,0.3502670865095774,0.8909502262443438,0.44301754854672165
clintox,rdkit,xgb,0.786172161172161,0.32743305255080984,0.9147058823529411,0.5196494677888488
skin_reaction,chemberta,logistic,0.4984802431610943,0.6067757528050333,0.7449494949494949,0.7641868875190654
skin_reaction,chemberta,rf,0.6577507598784195,0.7105170284045084,0.7563131313131314,0.7335344386540001
skin_reaction,chemberta,xgb,0.6133738601823708,0.6577496612157308,0.6565656565656566,0.6887547506637511
skin_reaction,rdkit,logistic,0.45471124620060793,0.5199871954524045,0.7323232323232323,0.7615272119282814
skin_reaction,rdkit,rf,0.6832826747720364,0.7549470408399542,0.6502525252525253,0.6658738772199227
skin_reaction,rdkit,xgb,0.6583586626139818,0.7702039779163786,0.7449494949494949,0.7456603637107344
