dataset,features,smote,PR-AUC_logistic,PR-AUC_rf,PR-AUC_xgb,ROC-AUC_logistic,ROC-AUC_rf,ROC-AUC_xgb,valid_PR-AUC_logistic,valid_PR-AUC_rf,valid_PR-AUC_xgb,valid_ROC-AUC_logistic,valid_ROC-AUC_rf,valid_ROC-AUC_xgb
carcinogens,chemberta,False,0.4546458774089277,0.5804140304140304,0.4826820261910242,0.6919191919191919,0.812121212121212,0.6858585858585858,0.7384615384615385,0.7238095238095237,0.7569230769230768,0.782608695652174,0.8260869565217392,0.8782608695652174
carcinogens,chemberta,True,0.49678253119429594,0.5438736100500807,0.5079817635598569,0.7464646464646465,0.7777777777777777,0.7404040404040404,0.7768115942028986,0.7238095238095237,0.7333333333333332,0.8260869565217391,0.8260869565217391,0.8434782608695652
carcinogens,rdkit,False,0.5107906799083269,0.49894656068569115,0.6199961802902979,0.8616161616161616,0.7737373737373737,0.8515151515151514,0.7555555555555555,0.7238095238095237,0.7555555555555555,0.8695652173913043,0.8304347826086957,0.8695652173913043
carcinogens,rdkit,True,0.5378787878787878,0.6065681377446084,0.48462714869800433,0.8373737373737374,0.8080808080808082,0.7787878787878787,0.7526315789473683,0.706993006993007,0.7282828282828282,0.8434782608695652,0.7869565217391304,0.8260869565217392
clintox,chemberta,False,0.23467548762704277,0.19635793287808448,0.2563960672541256,0.6878815628815629,0.7014652014652014,0.7121489621489621,0.2607764086643311,0.27424504937974287,0.22880620185223705,0.7911764705882354,0.7518099547511312,0.6703619909502263
clintox,chemberta,True,0.22643373879557607,0.19680852412711253,0.22277023681380206,0.6930708180708182,0.6781898656898656,0.7235958485958486,0.2494451431504507,0.2708625145182093,0.2453481226783536,0.7893665158371039,0.7846153846153846,0.7631221719457013
clintox,rdkit,False,0.34666710996254224,0.3821494716863525,0.35089839625549213,0.8226495726495726,0.806929181929182,0.8054029304029304,0.5628861022671694,0.4872753406072819,0.5599568373103102,0.9097285067873303,0.9013574660633484,0.9278280542986425
clintox,rdkit,True,0.3497325212691959,0.4072645145171451,0.40538560780099425,0.8185286935286935,0.8021978021978022,0.8174603174603176,0.6131107219383124,0.4726902490032911,0.6205356609682876,0.9210407239819005,0.8855203619909503,0.9319004524886878
skin_reaction,chemberta,False,0.6067757528050333,0.710408280024741,0.6577496612157308,0.4984802431610943,0.6562310030395136,0.6133738601823708,0.7641868875190654,0.736871379490941,0.6887547506637511,0.7449494949494949,0.76010101010101,0.6565656565656566
skin_reaction,chemberta,True,0.6065100855390055,0.6977506674178615,0.6784517319605364,0.5051671732522796,0.6595744680851063,0.6455927051671733,0.7689518843742387,0.7411253195640547,0.6835245158312436,0.75,0.7297979797979798,0.696969696969697
skin_reaction,rdkit,False,0.49967550210181966,0.7023754872649473,0.7344102729574594,0.41702127659574467,0.6127659574468084,0.6413373860182371,0.7397643425166283,0.6449858423848785,0.6566705888502649,0.7272727272727273,0.61489898989899,0.6590909090909091
skin_reaction,rdkit,True,0.49829128245718135,0.723552683082574,0.7859274569266539,0.4121580547112462,0.6574468085106383,0.6905775075987842,0.745743381403773,0.6349281094937739,0.7407899956836906,0.7272727272727273,0.6388888888888888,0.7297979797979798
