ROC-AUC,PR-AUC,valid_ROC-AUC,valid_PR-AUC,n_train,n_valid,n_test,dataset,features,model
0.6717171717171717,0.45547580713614877,0.808695652173913,0.7559523809523809,196,28,56,carcinogens,chemberta,logistic
0.7585858585858585,0.5027404183363936,0.808695652173913,0.7249999999999999,196,28,56,carcinogens,chemberta,rf
0.7080808080808081,0.49223607555207316,0.8695652173913043,0.7496503496503497,196,28,56,carcinogens,chemberta,xgb
0.8555555555555555,0.5365800865800865,0.8956521739130434,0.7769230769230768,196,28,56,carcinogens,rdkit,logistic
0.795959595959596,0.6379549079309845,0.8217391304347825,0.7203619909502261,196,28,56,carcinogens,rdkit,rf
0.807070707070707,0.547467071935157,0.7391304347826086,0.6971428571428571,196,28,56,carcinogens,rdkit,xgb
0.6858974358974359,0.23719331326320003,0.78710407239819,0.25003681812464196,1034,147,297,clintox,chemberta,logistic
0.6674297924297924,0.17101008273924967,0.732579185520362,0.24235530664782015,1034,147,297,clintox,chemberta,rf
0.7347374847374847,0.24257359449443647,0.7690045248868778,0.25354457401361163,1034,147,297,clintox,chemberta,xgb
0.8311965811965812,0.3780677799996876,0.9052036199095022,0.6140450422746907,1034,147,297,clintox,rdkit,logistic
0.7886904761904763,0.3719304603589243,0.9020361990950226,0.4729437732449153,1034,147,297,clintox,rdkit,rf
0.8264652014652015,0.38148350998981495,0.9355203619909501,0.607267395139233,1034,147,297,clintox,rdkit,xgb
0.4966565349544073,0.6038649164447136,0.7626262626262627,0.7733690732993581,282,40,82,skin_reaction,chemberta,logistic
0.6592705167173252,0.6925675005638562,0.7272727272727272,0.7297616832004183,282,40,82,skin_reaction,chemberta,rf
0.6455927051671733,0.6784517319605364,0.696969696969697,0.6835245158312436,282,40,82,skin_reaction,chemberta,xgb
0.4522796352583586,0.5205663073477537,0.7222222222222222,0.739721743581617,282,40,82,skin_reaction,rdkit,logistic
0.6389057750759879,0.7198876041772061,0.6502525252525253,0.6425314622264131,282,40,82,skin_reaction,rdkit,rf
0.6905775075987842,0.7912784818611318,0.7247474747474748,0.7578166750017931,282,40,82,skin_reaction,rdkit,xgb
