dataset,features,model,selected,best_params,valid_PR-AUC,valid_ROC-AUC,test_PR-AUC,test_ROC-AUC
clintox,rdkit,logistic,tuned,"{'model__penalty': 'l2', 'model__C': 100}",0.6463697778944044,0.9305429864253394,0.3612021594569781,0.8107448107448108
clintox,rdkit,rf,baseline,{'model__n_estimators': 100},0.49193205133267837,0.8952488687782806,0.37981528577800855,0.8288308913308914
clintox,rdkit,xgb,tuned,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.8}",0.5885755338436767,0.9373303167420814,0.3208386167050914,0.7704517704517705
carcinogens,rdkit,logistic,tuned,"{'model__penalty': 'l1', 'model__C': 10}",0.8625,0.9043478260869565,0.5792020275092375,0.8090909090909091
carcinogens,rdkit,rf,tuned,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 0.3, 'model__max_depth': None}",0.7291666666666665,0.8391304347826086,0.5637869125828706,0.8181818181818181
carcinogens,rdkit,xgb,tuned,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7769230769230768,0.8956521739130434,0.5337407982088833,0.807070707070707
skin_reaction,rdkit,logistic,tuned,"{'model__penalty': 'l2', 'model__C': 0.001}",0.7561962630537288,0.6666666666666666,0.6375094368366341,0.6638297872340426
skin_reaction,rdkit,rf,tuned,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.7413040539538738,0.6742424242424243,0.7378696872421104,0.6729483282674772
skin_reaction,rdkit,xgb,baseline,{'model__n_estimators': 100},0.7456603637107344,0.7449494949494949,0.7702039779163786,0.6583586626139818
clintox,chemberta,logistic,tuned,"{'model__penalty': 'l2', 'model__C': 0.001}",0.2864650673591899,0.7518099547511312,0.2211537925262241,0.7104700854700855
clintox,chemberta,rf,tuned,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.30511884347132157,0.7563348416289593,0.18272357862266975,0.6417887667887667
clintox,chemberta,xgb,tuned,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}",0.3859108556691618,0.8432126696832579,0.28829293142931117,0.722985347985348
carcinogens,chemberta,logistic,tuned,"{'model__penalty': 'l1', 'model__C': 0.1}",0.8583333333333332,0.9565217391304348,0.5635549201531607,0.7969696969696969
carcinogens,chemberta,rf,baseline,{'model__n_estimators': 100},0.7333333333333332,0.8434782608695652,0.5477109846675065,0.793939393939394
carcinogens,chemberta,xgb,tuned,"{'model__subsample': 1.0, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.2, 'model__colsample_bytree': 1.0}",0.8,0.9217391304347826,0.4897233501009337,0.6636363636363636
skin_reaction,chemberta,logistic,tuned,"{'model__penalty': 'l2', 'model__C': 1}",0.7641868875190654,0.7449494949494949,0.6067757528050333,0.4984802431610943
skin_reaction,chemberta,rf,tuned,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8181536051368802,0.7828282828282828,0.6647464939235225,0.666869300911854
skin_reaction,chemberta,xgb,tuned,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.8102771958641998,0.7676767676767676,0.6743245203856,0.6151975683890578
