feature,mean_abs_shap
NumHeterocycles,0.10009462293961315
SPS,0.08013065349556767
PEOE_VSA4,0.028204266108167318
NumAtomStereoCenters,0.024210161969824444
NumAliphaticHeterocycles,0.023140415339624087
FpDensityMorgan3,0.019468108787770406
BCUT2D_LOGPLOW,0.01595752257615195
VSA_EState9,0.015581343284447333
BCUT2D_CHGLO,0.014301251478268278
NumAliphaticRings,0.013703751125627706
PEOE_VSA2,0.012094821845408192
NumSaturatedRings,0.010726346669427357
PEOE_VSA1,0.008633297590416675
MinEStateIndex,0.008461978993308153
NumAromaticHeterocycles,0.007860457026843822
