feature,mean_abs_shap
BCUT2D_MRLOW,0.11176444550355878
BCUT2D_LOGPLOW,0.029881602835403656
SMR_VSA3,0.026829069223875384
MinPartialCharge,0.025545553536622165
fr_quatN,0.02479212532326338
BalabanJ,0.015155615570645348
HallKierAlpha,0.01280796317986414
MaxAbsPartialCharge,0.010098346219309745
qed,0.010013402024824949
PEOE_VSA9,0.008720587175937882
Chi2n,0.008288165532333618
TPSA,0.00787071722163302
NumHeteroatoms,0.00691316632915421
BCUT2D_MRHI,0.006704276852819031
VSA_EState2,0.006245543560437145
